birdie,bogey,dbl,driveAcc,driveYards,eagle,gir,ip,name,pars,ppgGir,toPar,year
15,5,2,78.6,270.3,0,68.1,T14,Chris DiMarco,50,1.694,-6,2011
15,10,0,85.7,276.1,0,59.7,T21,Brian Davis,47,1.721,-5,2011
17,8,1,64.3,277.2,0,69.4,T16,Scott Piercy,46,1.740,-7,2018
18,11,0,62.5,299.5,0,72.2,T16,Dustin Johnson,43,1.712,-7,2018
14,10,1,60.7,268.6,0,62.5,T14,Graham DeLaet,47,1.822,-2,2016
16,12,1,67.9,289.4,0,47.2,T14,Si Woo Kim,43,1.618,-2,2016
15,8,2,75,278,1,56.9,T21,Mark Wilson,46,1.683,-5,2011
13,8,0,80.4,274.7,0,61.1,T21,Brendon de Jonge,51,1.841,-5,2011
16,9,0,67.9,272.9,0,56.9,T16,Ted Potter Jr.,47,1.707,-7,2018
16,11,0,71.4,283.1,1,63.9,T16,Emiliano Grillo,44,1.761,-7,2018
15,6,2,78.6,276.7,1,70.8,T16,Ryan Moore,48,1.745,-7,2018
15,7,3,55.4,272.4,0,55.6,T14,Tyler Aldridge,47,1.675,-2,2016
12,8,1,58.9,268.4,0,66.7,T14,Bill Haas,51,1.813,-2,2016
15,13,0,58.9,287.7,0,51.4,T14,Charley Hoffman,44,1.676,-2,2016
16,7,2,73.2,282.3,0,54.2,T21,Freddie Jacobson,47,1.667,-5,2011
11,8,0,64.3,282.3,1,52.8,T21,Michael Bradley,52,1.737,-5,2011
15,10,0,64.3,285.7,0,56.9,T21,Brendan Steele,47,1.732,-5,2011
18,9,1,60.7,274,1,66.7,T23,John Huh,42,1.646,-6,2018
11,5,0,60.7,281.2,0,56.9,T23,Tyrone Van Aswegen,56,1.780,-6,2018
13,7,0,58.9,286.4,0,43.1,T23,Bud Cauley,52,1.645,-6,2018
15,13,0,62.5,274.1,0,55.6,T14,Patton Kizzire,44,1.750,-2,2016
15,12,1,55.4,286.7,0,69.4,T23,John Senden,44,1.720,-1,2016
15,12,1,53.6,280.3,0,59.7,T23,Jason Day,44,1.767,-1,2016
16,7,2,76.8,275.3,0,65.3,T21,Jim Furyk,47,1.660,-5,2011
